seguire,"seguire,seguente,seguendo,seguito,avere seguito; essere seguito,avendo seguito; essendo seguito,avente seguito; essente seguito","seguo,segui,segue,seguiamo,seguite,seguono","seguivo,seguivi,seguiva,seguivamo,seguivate,seguivano","seguirò,seguirai,seguirà,seguiremo,seguirete,seguiranno","seguii,seguisti,seguì,seguimmo,seguiste,seguirono","ho seguito; sono seguito,hai seguito; sei seguito,ha seguito; è seguito,abbiamo seguito; siamo seguiti,avete seguito; siete seguiti,hanno seguito; sono seguiti","avevo seguito; ero seguito,avevi seguito; eri seguito,aveva seguito; era seguito,avevamo seguito; eravamo seguiti,avevate seguito; eravate seguiti,avevano seguito; erano seguiti","avrò seguito; sarò seguito,avrai seguito; sarai seguito,avrà seguito; sarà seguito,avremo seguito; saremo seguiti,avrete seguito; sarete seguiti,avranno seguito; saranno seguiti","ebbi seguito; fui seguito,avesti seguito; fosti seguito,ebbe seguito; fu seguito,avemmo seguito; fummo seguiti,aveste seguito; foste seguiti,ebbero seguito; furono seguiti","segua,segua,segua,seguiamo,seguiate,seguano","abbia seguito; sia seguito,abbia seguito; sia seguito,abbia seguito; sia seguito,abbiamo seguito; siamo seguiti,abbiate seguito; siate seguiti,abbiano seguito; siano seguiti","seguissi,seguissi,seguisse,seguissimo,seguiste,seguissero","avessi seguito; fossi seguito,avessi seguito; fossi seguito,avesse seguito; fosse seguito,avessimo seguito; fossimo seguiti,aveste seguito; foste seguiti,avessero seguito; fossero seguiti","seguirei,seguiresti,seguirebbe,seguiremmo,seguireste,seguirebbero","avrei seguito; sarei seguito,avresti seguito; saresti seguito,avrebbe seguito; sarebbe seguito,avremmo seguito; saremmo seguiti,avreste seguito; sareste seguiti,avrebbero seguito; sarebbero seguiti","segui,segua,seguiamo,seguite,seguano",
sentire,"sentire,sentente,sentendo,sentito,avere sentito; essere sentito,avendo sentito; essendo sentito,avente sentito; essente sentito","sento,senti,sente,sentiamo,sentite,sentono","sentivo,sentivi,sentiva,sentivamo,sentivate,sentivano","sentirò,sentirai,sentirà,sentiremo,sentirete,sentiranno","sentii,sentisti,sentì,sentimmo,sentiste,sentirono","ho sentito; sono sentito,hai sentito; sei sentito,ha sentito; è sentito,abbiamo sentito; siamo sentiti,avete sentito; siete sentiti,hanno sentito; sono sentiti","avevo sentito; ero sentito,avevi sentito; eri sentito,aveva sentito; era sentito,avevamo sentito; eravamo sentiti,avevate sentito; eravate sentiti,avevano sentito; erano sentiti","avrò sentito; sarò sentito,avrai sentito; sarai sentito,avrà sentito; sarà sentito,avremo sentito; saremo sentiti,avrete sentito; sarete sentiti,avranno sentito; saranno sentiti","ebbi sentito; fui sentito,avesti sentito; fosti sentito,ebbe sentito; fu sentito,avemmo sentito; fummo sentiti,aveste sentito; foste sentiti,ebbero sentito; furono sentiti","senta,senta,senta,sentiamo,sentiate,sentano","abbia sentito; sia sentito,abbia sentito; sia sentito,abbia sentito; sia sentito,abbiamo sentito; siamo sentiti,abbiate sentito; siate sentiti,abbiano sentito; siano sentiti","sentissi,sentissi,sentisse,sentissimo,sentiste,sentissero","avessi sentito; fossi sentito,avessi sentito; fossi sentito,avesse sentito; fosse sentito,avessimo sentito; fossimo sentiti,aveste sentito; foste sentiti,avessero sentito; fossero sentiti","sentirei,sentiresti,sentirebbe,sentiremmo,sentireste,sentirebbero","avrei sentito; sarei sentito,avresti sentito; saresti sentito,avrebbe sentito; sarebbe sentito,avremmo sentito; saremmo sentiti,avreste sentito; sareste sentiti,avrebbero sentito; sarebbero sentiti","senti,senta,sentiamo,sentite,sentano",
servire,"servire,servente,servendo,servito,avere servito; essere servito,avendo servito; essendo servito,avente servito; essente servito","servo,servi,serve,serviamo,servite,servono","servivo,servivi,serviva,servivamo,servivate,servivano","servirò,servirai,servirà,serviremo,servirete,serviranno","servii,servisti,servì,servimmo,serviste,servirono","ho servito; sono servito,hai servito; sei servito,ha servito; è servito,abbiamo servito; siamo serviti,avete servito; siete serviti,hanno servito; sono serviti","avevo servito; ero servito,avevi servito; eri servito,aveva servito; era servito,avevamo servito; eravamo serviti,avevate servito; eravate serviti,avevano servito; erano serviti","avrò servito; sarò servito,avrai servito; sarai servito,avrà servito; sarà servito,avremo servito; saremo serviti,avrete servito; sarete serviti,avranno servito; saranno serviti","ebbi servito; fui servito,avesti servito; fosti servito,ebbe servito; fu servito,avemmo servito; fummo serviti,aveste servito; foste serviti,ebbero servito; furono serviti","serva,serva,serva,serviamo,serviate,servano","abbia servito; sia servito,abbia servito; sia servito,abbia servito; sia servito,abbiamo servito; siamo serviti,abbiate servito; siate serviti,abbiano servito; siano serviti","servissi,servissi,servisse,servissimo,serviste,servissero","avessi servito; fossi servito,avessi servito; fossi servito,avesse servito; fosse servito,avessimo servito; fossimo serviti,aveste servito; foste serviti,avessero servito; fossero serviti","servirei,serviresti,servirebbe,serviremmo,servireste,servirebbero","avrei servito; sarei servito,avresti servito; saresti servito,avrebbe servito; sarebbe servito,avremmo servito; saremmo serviti,avreste servito; sareste serviti,avrebbero servito; sarebbero serviti","servi,serva,serviamo,servite,servano",
spiegare,"spiegare,spiegante,spiegando,spiegato,avere spiegato,avendo spiegato,avente spiegato","spiego,spieghi,spiega,spieghiamo,spiegate,spiegano","spiegavo,spiegavi,spiegava,spiegavamo,spiegavate,spiegavano","spiegherò,spiegherai,spiegherà,spiegheremo,spiegherete,spiegheranno","spiegai,spiegasti,spiegò,spiegammo,spiegaste,spiegarono","ho spiegato,hai spiegato,ha spiegato,abbiamo spiegato,avete spiegato,hanno spiegato","avevo spiegato,avevi spiegato,aveva spiegato,avevamo spiegato,avevate spiegato,avevano spiegato","avrò spiegato,avrai spiegato,avrà spiegato,avremo spiegato,avrete spiegato,avranno spiegato","ebbi spiegato,avesti spiegato,ebbe spiegato,avemmo spiegato,aveste spiegato,ebbero spiegato","spieghi,spieghi,spieghi,spieghiamo,spieghiate,spieghino","abbia spiegato,abbia spiegato,abbia spiegato,abbiamo spiegato,abbiate spiegato,abbiano spiegato","spiegassi,spiegassi,spiegasse,spiegassimo,spiegaste,spiegassero","avessi spiegato,avessi spiegato,avesse spiegato,avessimo spiegato,aveste spiegato,avessero spiegato","spiegherei,spiegheresti,spiegherebbe,spiegheremmo,spieghereste,spiegherebbero","avrei spiegato,avresti spiegato,avrebbe spiegato,avremmo spiegato,avreste spiegato,avrebbero spiegato","spiega,spieghi,spieghiamo,spiegate,spieghino",
stare,"stare,stante,stando,stato,essere stato,essendo stato,essente stato","sto,stai,sta,stiamo,state,stanno","stavo,stavi,stava,stavamo,stavate,stavano","starò,starai,starà,staremo,starete,staranno","stetti,stesti,stette,stemmo,steste,stettero","sono stato,sei stato,è stato,siamo stati,siete stati,sono stati","ero stato,eri stato,era stato,eravamo stati,eravate stati,erano stati","sarò stato,sarai stato,sarà stato,saremo stati,sarete stati,saranno stati","fui stato,fosti stato,fu stato,fummo stati,foste stati,furono stati","stia,stia,stia,stiamo,stiate,stiano","sia stato,sia stato,sia stato,siamo stati,siate stati,siano stati","stessi,stessi,stesse,stessimo,steste,stessero","fossi stato,fossi stato,fosse stato,fossimo stati,foste stati,fossero stati","starei,staresti,starebbe,staremmo,stareste,starebbero","sarei stato,saresti stato,sarebbe stato,saremmo stati,sareste stati,sarebbero stati","sta'; stai,stia,stiamo,state,stiano",
tacere,"tacere,tacente,tacendo,taciuto,avere taciuto,avendo taciuto,avente taciuto","taccio; tacio,taci,tace,tacciamo; taciamo,tacete,tacciono; taciono","tacevo,tacevi,taceva,tacevamo,tacevate,tacevano","tacerò,tacerai,tacerà,taceremo,tacerete,taceranno","tacqui,tacesti,tacque,tacemmo,taceste,tacquero","ho taciuto,hai taciuto,ha taciuto,abbiamo taciuto,avete taciuto,hanno taciuto","avevo taciuto,avevi taciuto,aveva taciuto,avevamo taciuto,avevate taciuto,avevano taciuto","avrò taciuto,avrai taciuto,avrà taciuto,avremo taciuto,avrete taciuto,avranno taciuto","ebbi taciuto,avesti taciuto,ebbe taciuto,avemmo taciuto,aveste taciuto,ebbero taciuto","taccia; tacia,taccia; tacia,taccia; tacia,tacciamo; taciamo,tacciate; taciate,tacciano; taciano","abbia taciuto,abbia taciuto,abbia taciuto,abbiamo taciuto,abbiate taciuto,abbiano taciuto","tacessi,tacessi,tacesse,tacessimo,taceste,tacessero","avessi taciuto,avessi taciuto,avesse taciuto,avessimo taciuto,aveste taciuto,avessero taciuto","tacerei,taceresti,tacerebbe,taceremmo,tacereste,tacerebbero","avrei taciuto,avresti taciuto,avrebbe taciuto,avremmo taciuto,avreste taciuto,avrebbero taciuto","taci,taccia; tacia,tacciamo; taciamo,tacete,tacciano; taciano",
uscire,"uscire; escire,uscente,uscendo,uscito,essere uscito,essendo uscito,essente uscito","esco,esci,esce,usciamo,uscite,escono","uscivo,uscivi,usciva,uscivamo,uscivate,uscivano","uscirò,uscirai,uscirà,usciremo,uscirete,usciranno","uscii,uscisti,uscì,uscimmo,usciste,uscirono","sono uscito,sei uscito,è uscito,siamo usciti,siete usciti,sono usciti","ero uscito,eri uscito,era uscito,eravamo usciti,eravate usciti,erano usciti","sarò uscito,sarai uscito,sarà uscito,saremo usciti,sarete usciti,saranno usciti","fui uscito,fosti uscito,fu uscito,fummo usciti,foste usciti,furono usciti","esca,esca,esca,usciamo,usciate,escano","sia uscito,sia uscito,sia uscito,siamo usciti,siate usciti,siano usciti","uscissi,uscissi,uscisse,uscissimo,usciste,uscissero","fossi uscito,fossi uscito,fosse uscito,fossimo usciti,foste usciti,fossero usciti","uscirei,usciresti,uscirebbe,usciremmo,uscireste,uscirebbero","sarei uscito,saresti uscito,sarebbe uscito,saremmo usciti,sareste usciti,sarebbero usciti","esci,esca,usciamo,uscite,escano",
valere,"valere,valente,valendo,valso; valuto; valsuto,essere valso; valuto,essendo valso; valuto,essente valso; valuto","valgo,vali,vale,valiamo; valghiamo; vagliamo,valete,valgono; vagliono","valevo,valevi,valeva,valevamo,valevate,valevano","varrò,varrai,varrà,varremo,varrete,varranno","valsi,valesti,valse,valemmo,valeste,valsero","sono valso; valuto,sei valso; valuto,è valso; valuto,siamo valso; valuti,siete valso; valuti,sono valso; valuti","ero valso; valuto,eri valso; valuto,era valso; valuto,eravamo valso; valuti,eravate valso; valuti,erano valso; valuti","sarò valso; valuto,sarai valso; valuto,sarà valso; valuto,saremo valso; valuti,sarete valso; valuti,saranno valso; valuti","fui valso; valuto,fosti valso; valuto,fu valso; valuto,fummo valso; valuti,foste valso; valuti,furono valso; valuti","valga; vaglia,valga; vaglia,valga; vaglia,valiamo; valghiamo; vagliamo,valiate; valghiate; vagliate,valgano; vagliano","sia valso; valuto,sia valso; valuto,sia valso; valuto,siamo valso; valuti,siate valso; valuti,siano valso; valuti","valessi,valessi,valesse,valessimo,valeste,valessero","fossi valso; valuto,fossi valso; valuto,fosse valso; valuto,fossimo valso; valuti,foste valso; valuti,fossero valso; valuti","varrei,varresti,varrebbe,varremmo,varreste,varrebbero","sarei valso; valuto,saresti valso; valuto,sarebbe valso; valuto,saremmo valso; valuti,sareste valso; valuti,sarebbero valso; valuti","vali,valga; vaglia,valiamo; valghiamo; vagliamo,valete,valgano; vagliano",
vedere,"vedere,vedente,vedendo,veduto; visto,avere veduto; visto,avendo veduto; visto,avente veduto; visto","vedo; veggo,vedi,vede,vediamo,vedete,vedono; veggono","vedevo,vedevi,vedeva,vedevamo,vedevate,vedevano","vedrò,vedrai,vedrà,vedremo,vedrete,vedranno","vidi,vedesti,vide,vedemmo,vedeste,videro","ho veduto; visto,hai veduto; visto,ha veduto; visto,abbiamo veduto; visto,avete veduto; visto,hanno veduto; visto","avevo veduto; visto,avevi veduto; visto,aveva veduto; visto,avevamo veduto; visto,avevate veduto; visto,avevano veduto; visto","avrò veduto; visto,avrai veduto; visto,avrà veduto; visto,avremo veduto; visto,avrete veduto; visto,avranno veduto; visto","ebbi veduto; visto,avesti veduto; visto,ebbe veduto; visto,avemmo veduto; visto,aveste veduto; visto,ebbero veduto; visto","veda; vegga,veda; vegga,veda; vegga,vediamo,vediate,vedano; veggano","abbia veduto; visto,abbia veduto; visto,abbia veduto; visto,abbiamo veduto; visto,abbiate veduto; visto,abbiano veduto; visto","vedessi,vedessi,vedesse,vedessimo,vedeste,vedessero","avessi veduto; visto,avessi veduto; visto,avesse veduto; visto,avessimo veduto; visto,aveste veduto; visto,avessero veduto; visto","vedrei,vedresti,vedrebbe,vedremmo,vedreste,vedrebbero","avrei veduto; visto,avresti veduto; visto,avrebbe veduto; visto,avremmo veduto; visto,avreste veduto; visto,avrebbero veduto; visto","vedi,veda; vegga,vediamo,vedete,vedano; veggano",
venire,"venire,venente,venendo,venuto,essere venuto,essendo venuto,essente venuto","vengo,vieni,viene,veniamo,venite,vengono","venivo,venivi,veniva,venivamo,venivate,venivano","verrò,verrai,verrà,verremo,verrete,verranno","venni,venisti,venne,venimmo,veniste,vennero","sono venuto,sei venuto,è venuto,siamo venuti,siete venuti,sono venuti","ero venuto,eri venuto,era venuto,eravamo venuti,eravate venuti,erano venuti","sarò venuto,sarai venuto,sarà venuto,saremo venuti,sarete venuti,saranno venuti","fui venuto,fosti venuto,fu venuto,fummo venuti,foste venuti,furono venuti","venga,venga,venga,veniamo,veniate,vengano","sia venuto,sia venuto,sia venuto,siamo venuti,siate venuti,siano venuti","venissi,venissi,venisse,venissimo,veniste,venissero","fossi venuto,fossi venuto,fosse venuto,fossimo venuti,foste venuti,fossero venuti","verrei,verresti,verrebbe,verremmo,verreste,verrebbero","sarei venuto,saresti venuto,sarebbe venuto,saremmo venuti,sareste venuti,sarebbero venuti","vieni,venga,veniamo,venite,vengano",
vestire,"vestire,vestente,vestendo,vestito,avere vestito,avendo vestito,avente vestito","vesto,vesti,veste,vestiamo,vestite,vestono","vestivo,vestivi,vestiva,vestivamo,vestivate,vestivano","vestirò,vestirai,vestirà,vestiremo,vestirete,vestiranno","vestii,vestisti,vestì,vestimmo,vestiste,vestirono","ho vestito,hai vestito,ha vestito,abbiamo vestito,avete vestito,hanno vestito","avevo vestito,avevi vestito,aveva vestito,avevamo vestito,avevate vestito,avevano vestito","avrò vestito,avrai vestito,avrà vestito,avremo vestito,avrete vestito,avranno vestito","ebbi vestito,avesti vestito,ebbe vestito,avemmo vestito,aveste vestito,ebbero vestito","vesta,vesta,vesta,vestiamo,vestiate,vestano","abbia vestito,abbia vestito,abbia vestito,abbiamo vestito,abbiate vestito,abbiano vestito","vestissi,vestissi,vestisse,vestissimo,vestiste,vestissero","avessi vestito,avessi vestito,avesse vestito,avessimo vestito,aveste vestito,avessero vestito","vestirei,vestiresti,vestirebbe,vestiremmo,vestireste,vestirebbero","avrei vestito,avresti vestito,avrebbe vestito,avremmo vestito,avreste vestito,avrebbero vestito","vesti,vesta,vestiamo,vestite,vestano",
vivere,"vivere,vivente,vivendo,vivuto; vissuto,avere vivuto; vissuto; essere vivuto; vissuto,avendo vivuto; vissuto; essendo vivuto; vissuto,avente vivuto; vissuto; essente vivuto; vissuto","vivo,vivi,vive,viviamo,vivete,vivono","vivevo,vivevi,viveva,vivevamo,vivevate,vivevano","vivrò,vivrai,vivrà,vivremo,vivrete,vivranno","vissi,vivesti,visse,vivemmo,viveste,vissero","ho vivuto; vissuto; sono vivuto; vissuto,hai vivuto; vissuto; sei vivuto; vissuto,ha vivuto; vissuto; è vivuto; vissuto,abbiamo vivuto; vissuto; siamo vivuto; vissuti,avete vivuto; vissuto; siete vivuto; vissuti,hanno vivuto; vissuto; sono vivuto; vissuti","avevo vivuto; vissuto; ero vivuto; vissuto,avevi vivuto; vissuto; eri vivuto; vissuto,aveva vivuto; vissuto; era vivuto; vissuto,avevamo vivuto; vissuto; eravamo vivuto; vissuti,avevate vivuto; vissuto; eravate vivuto; vissuti,avevano vivuto; vissuto; erano vivuto; vissuti","avrò vivuto; vissuto; sarò vivuto; vissuto,avrai vivuto; vissuto; sarai vivuto; vissuto,avrà vivuto; vissuto; sarà vivuto; vissuto,avremo vivuto; vissuto; saremo vivuto; vissuti,avrete vivuto; vissuto; sarete vivuto; vissuti,avranno vivuto; vissuto; saranno vivuto; vissuti","ebbi vivuto; vissuto; fui vivuto; vissuto,avesti vivuto; vissuto; fosti vivuto; vissuto,ebbe vivuto; vissuto; fu vivuto; vissuto,avemmo vivuto; vissuto; fummo vivuto; vissuti,aveste vivuto; vissuto; foste vivuto; vissuti,ebbero vivuto; vissuto; furono vivuto; vissuti","viva,viva,viva,viviamo,viviate,vivano","abbia vivuto; vissuto; sia vivuto; vissuto,abbia vivuto; vissuto; sia vivuto; vissuto,abbia vivuto; vissuto; sia vivuto; vissuto,abbiamo vivuto; vissuto; siamo vivuto; vissuti,abbiate vivuto; vissuto; siate vivuto; vissuti,abbiano vivuto; vissuto; siano vivuto; vissuti","vivessi,vivessi,vivesse,vivessimo,viveste,vivessero","avessi vivuto; vissuto; fossi vivuto; vissuto,avessi vivuto; vissuto; fossi vivuto; vissuto,avesse vivuto; vissuto; fosse vivuto; vissuto,avessimo vivuto; vissuto; fossimo vivuto; vissuti,aveste vivuto; vissuto; foste vivuto; vissuti,avessero vivuto; vissuto; fossero vivuto; vissuti","vivrei,vivresti,vivrebbe,vivremmo,vivreste,vivrebbero","avrei vivuto; vissuto; sarei vivuto; vissuto,avresti vivuto; vissuto; saresti vivuto; vissuto,avrebbe vivuto; vissuto; sarebbe vivuto; vissuto,avremmo vivuto; vissuto; saremmo vivuto; vissuti,avreste vivuto; vissuto; sareste vivuto; vissuti,avrebbero vivuto; vissuto; sarebbero vivuto; vissuti","vivi,viva,viviamo,vivete,vivano",
volere,"volere,volente,volendo,voluto,avere voluto,avendo voluto,avente voluto","voglio; vò; vuò,vuoi,vuole,vogliamo,volete,vogliono","volevo,volevi,voleva,volevamo,volevate,volevano","vorrò,vorrai,vorrà,vorremo,vorrete,vorranno","volli; volsi,volesti,volle; volse,volemmo,voleste,vollero; volsero","ho voluto,hai voluto,ha voluto,abbiamo voluto,avete voluto,hanno voluto","avevo voluto,avevi voluto,aveva voluto,avevamo voluto,avevate voluto,avevano voluto","avrò voluto,avrai voluto,avrà voluto,avremo voluto,avrete voluto,avranno voluto","ebbi voluto,avesti voluto,ebbe voluto,avemmo voluto,aveste voluto,ebbero voluto","voglia,voglia,voglia,vogliamo,vogliate,vogliano","abbia voluto,abbia voluto,abbia voluto,abbiamo voluto,abbiate voluto,abbiano voluto","volessi,volessi,volesse,volessimo,voleste,volessero","avessi voluto,avessi voluto,avesse voluto,avessimo voluto,aveste voluto,avessero voluto","vorrei,vorresti,vorrebbe,vorremmo,vorreste,vorrebbero","avrei voluto,avresti voluto,avrebbe voluto,avremmo voluto,avreste voluto,avrebbero voluto","vogli,voglia,vogliamo,vogliate,vogliano",
